county,date,deviation,label
San Joaquin,2018-11-01,-0.2610989032024361,Green
San Luis Obispo,2018-11-01,-0.32834754809734806,Green
San Mateo,2018-11-01,-0.31671820152075797,Green
Santa Barbara,2018-11-01,0.3144720298329093,Red
Santa Clara,2018-11-01,-0.3753371477839799,Green
Santa Cruz,2018-11-01,0.13296951107354849,Green
Shasta,2018-11-01,-0.1326126815603678,Green
Sierra,2018-11-01,-0.6329823222888478,Green
Siskiyou,2018-11-01,-0.03193418877806257,Green
Solano,2018-11-01,-0.056867941739782796,Green
Sonoma,2018-11-01,-0.2699010438133099,Green
Stanislaus,2018-11-01,-0.040426189712586096,Green
Sutter,2018-11-01,-0.12466704154696953,Green
Tehama,2018-11-01,0.02043543330532176,Green
Trinity,2018-11-01,-0.005215017145987153,Green
Tulare,2018-11-01,-0.17687064933206076,Green
Tuolumne,2018-11-01,-0.04245365106339122,Green
Ventura,2018-11-01,-0.04874041216821646,Green
Yolo,2018-11-01,-0.003081417125597882,Green
Yuba,2018-11-01,-0.08185029957097124,Green
Alameda,2018-12-01,-0.02647532258371448,Green
Alpine,2018-12-01,0.09573778805819201,Green
Amador,2018-12-01,-0.2295274811868433,Green
Butte,2018-12-01,0.6735309543686484,Red
Calaveras,2018-12-01,-0.039655838952031106,Green
Colusa,2018-12-01,-0.2957257925700663,Green
Contra Costa,2018-12-01,-0.27294422186348855,Green
Del Norte,2018-12-01,-0.04053434853414518,Green
El Dorado,2018-12-01,0.07806207344195017,Green
Fresno,2018-12-01,-0.1267176327054948,Green
Glenn,2018-12-01,-0.09279557417111596,Green
Humboldt,2018-12-01,0.10211357768968218,Green
Imperial,2018-12-01,-0.2881886202392846,Green
Inyo,2018-12-01,-0.15170833786932236,Green
Kern,2018-12-01,-0.1850440500181975,Green
Kings,2018-12-01,-0.16335628058552903,Green
Lake,2018-12-01,0.021311269359888748,Green
Lassen,2018-12-01,-0.09778198524029671,Green
Los Angeles,2018-12-01,-0.16577547249265306,Green
Madera,2018-12-01,-0.1301972395119787,Green
Marin,2018-12-01,-0.17748864681278864,Green
Mariposa,2018-12-01,0.01648784325932564,Green
Mendocino,2018-12-01,-0.18567569533493458,Green
Merced,2018-12-01,-0.14259393110760213,Green
Modoc,2018-12-01,-0.12492722530802038,Green
Mono,2018-12-01,0.034499025881477956,Green
Monterey,2018-12-01,0.1900451843376986,Yellow
Napa,2018-12-01,-0.18500395302353276,Green
Nevada,2018-12-01,-0.06373973383668578,Green
Orange,2018-12-01,-0.11500262637831367,Green
Placer,2018-12-01,-0.4055448251039521,Green
Plumas,2018-12-01,0.172140433090278,Green
Riverside,2018-12-01,-0.2933642347824634,Green
Sacramento,2018-12-01,-0.0065601217850326235,Green
